feature_id	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Colon_Transverse_Mixed_Cell	Colon_Transverse_Mucosa	Colon_Transverse_Muscularis	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Liver_Hepatocyte	Liver_Mixed_Cell	Liver_Portal_Tract	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pancreas_Acini	Pancreas_Islets	Pancreas_Mixed_Cell	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Mixed_Cell	Spleen	Stomach	Stomach_Mixed_Cell	Stomach_Mucosa	Stomach_Muscularis	Testis	Thyroid	Uterus	Vagina	Whole_Blood
expr::ABL1	72.864700	68.213900	29.926000	82.329700	72.904100	106.459000	131.563000	15.449300	14.673700	17.166100	19.618100	24.435400	18.813000	15.895300	17.538200	19.526900	16.753100	15.837300	40.037000	20.391300	69.699700	86.780700	30.690900	76.578800	123.808000	152.902000	73.919400	55.466600	30.695500	120.958000	119.604000	34.422000	110.599000	111.667000	25.374600	14.842500	17.161400	29.966200	8.903450	7.673350	8.175600	38.316300	57.398300	41.299700	17.792900	69.765800	96.981600	12.247300	9.354850	16.159900	11.017500	53.080900	65.146900	40.957700	48.105500	53.431900	43.199300	43.169500	33.613900	39.203400	52.365500	23.300800	132.127000	31.149600	88.227300	128.170000	66.332500	4.332090
expr::ACTB	2360.430000	2245.180000	969.830000	6193.310000	5600.990000	7788.050000	3583.630000	678.831000	771.073000	774.017000	812.520000	803.550000	887.527000	994.414000	738.205000	665.755000	836.567000	658.872000	1430.870000	675.398000	2104.360000	4548.980000	8062.340000	2086.070000	2926.600000	6778.470000	2974.660000	2022.050000	999.711000	4894.750000	5791.550000	2319.540000	6552.720000	4447.450000	803.441000	306.613000	698.253000	1044.460000	501.032000	444.103000	481.763000	1525.130000	3225.320000	1159.020000	267.502000	2259.620000	1866.020000	269.375000	160.512000	401.390000	244.179000	809.346000	2070.600000	1338.270000	1435.790000	2322.050000	1814.530000	1706.420000	2724.190000	1344.740000	1339.700000	390.125000	4450.360000	687.291000	1526.950000	4841.350000	2446.550000	3559.040000
expr::ACVR1	21.585400	16.269200	7.345560	28.254500	19.661000	30.535800	16.974100	4.588220	4.540520	6.153340	6.838190	6.868150	4.554070	5.219770	6.308020	5.507970	5.837780	5.509490	6.873590	5.439920	20.153800	30.950900	0.284705	21.192300	28.904100	16.767400	9.631940	7.496500	4.008120	15.089800	15.061300	7.254640	16.943800	22.014400	9.445800	4.695380	5.546080	7.261950	5.437090	5.360200	6.066740	15.009300	16.618700	17.409600	6.277250	18.909700	20.502400	3.748260	3.227010	8.528230	4.293080	11.958500	11.597400	12.855600	13.936500	9.701320	8.293590	8.753590	6.032410	7.752790	7.643470	4.724550	10.151700	4.397390	26.804400	27.522100	18.242800	1.643940
expr::ACVR2A	11.033200	7.973310	3.399130	5.467190	6.170330	8.215310	12.449600	2.630790	3.048170	2.054060	13.499000	12.259500	4.031750	4.789470	2.521640	4.563460	3.392060	1.666790	3.178350	2.093980	9.893040	6.006370	0.402875	12.285000	9.824520	8.986150	7.228900	8.028190	8.123890	7.894060	10.328000	8.735890	11.504800	8.651470	2.495870	1.841910	2.666530	4.517710	2.881140	2.926400	2.911540	12.177100	8.024730	11.307100	3.310400	13.488500	8.664050	2.740170	2.951030	5.386790	2.621870	6.780770	9.030340	26.930000	26.951600	7.967390	6.175730	7.341650	5.795590	6.014390	6.216910	4.608580	7.412440	9.814880	9.188820	10.817600	13.991200	0.671820
expr::AFDN	33.028900	32.772100	9.675160	17.846900	18.184400	17.027200	27.637100	7.083280	7.909880	7.773010	23.953500	27.401000	10.854900	9.882810	7.331220	9.930480	8.272340	6.615380	11.507100	8.882490	42.590200	12.280600	16.533400	41.247900	33.244500	30.718000	28.122900	25.164500	25.619900	23.670000	26.135000	64.459700	27.411700	32.507000	11.794400	11.877400	14.401100	24.421100	19.808300	17.877900	13.878200	50.749600	53.823800	51.153400	10.093900	36.950100	32.224400	17.641900	15.817500	19.548200	13.578300	42.538900	31.130100	39.620100	42.405300	29.334800	15.822100	20.690700	25.446000	25.250900	26.240700	23.141800	15.251000	33.812000	48.462700	37.374500	41.844600	0.745787
expr::AFF1	53.186300	42.177000	24.999100	31.748500	42.675300	52.197700	38.444400	4.402130	4.612850	5.602010	5.645650	6.624400	5.920360	5.692210	4.774230	4.798420	4.347860	4.466880	8.790770	5.725090	41.558200	25.221500	63.217900	36.288600	51.787600	45.860400	30.204600	21.810400	18.371100	36.267300	38.204400	24.450300	36.451500	44.257000	18.162200	12.276400	22.460500	39.438400	9.961320	8.592330	7.883070	34.020300	42.630500	27.090800	40.783600	53.311400	55.173200	13.868600	10.643400	16.997700	10.211000	24.350400	29.242600	36.913200	36.741000	29.825500	29.289100	20.932200	25.409900	18.827900	16.005000	9.734970	27.204300	10.599600	95.930400	60.936400	38.348300	9.037740
expr::AKT1	59.659600	53.237900	71.551300	87.581000	68.316400	80.364100	65.029900	20.586300	26.032500	22.734400	45.322000	49.084600	29.710100	29.709200	20.811100	22.204500	23.712400	20.079800	23.685700	19.646100	58.003300	80.087000	58.154600	52.749300	65.586200	72.104200	48.836700	42.867000	31.489900	61.493500	70.989600	40.172800	81.872300	66.576000	31.116500	28.239200	24.120700	42.439700	32.543500	40.047600	35.298100	52.532100	79.500000	51.255400	22.417300	64.823700	52.723700	26.814100	23.861200	32.207700	25.035400	35.523400	70.668300	37.141800	39.988800	46.881200	49.197200	45.098000	62.168100	49.398000	46.677300	36.390000	60.583500	31.808700	67.131500	69.040900	53.773400	29.604400
expr::AKT3	19.059900	15.149100	7.317840	26.838600	27.384100	41.201000	17.958600	8.256230	11.959800	8.059260	26.225700	23.134900	14.388900	18.319500	8.014500	8.937120	8.284070	6.957710	10.078700	8.484140	15.354300	14.538300	5.317250	16.568500	21.907900	23.648900	9.767690	5.408820	1.388170	18.928300	20.537300	3.259230	21.220600	22.564600	5.541900	2.290560	4.774120	10.240200	0.872847	0.406069	0.656488	12.514300	16.127200	4.241920	2.226650	23.453400	30.045700	1.507530	0.816129	9.047410	1.606720	14.059800	14.924800	3.837480	5.347830	10.432900	12.564900	8.039750	7.394690	3.860260	6.344480	1.174120	18.512800	11.014800	15.950300	30.295400	13.459700	0.879856
expr::ALK	0.128057	0.083313	0.108270	0.029608	0.060314	0.035127	0.144177	0.858010	1.365190	0.589579	0.201971	0.261056	1.145610	1.262630	0.593181	1.576810	0.880573	0.564273	0.607430	0.722062	0.131515	0.010871	0.018160	0.078955	0.160264	1.298910	0.392724	0.141618	0.027264	0.742857	0.653598	0.064630	0.706937	0.080652	0.044624	0.016362	0.024466	0.030517	0.010105	0.000000	0.000000	0.039732	0.080362	0.178438	0.040114	0.448340	0.095678	0.017692	0.009732	0.028984	0.007293	3.369270	0.091343	0.073745	0.091964	0.188007	0.067743	0.092285	0.034365	0.067686	0.085700	0.013272	0.335123	2.797240	0.106460	0.078211	0.070685	0.006252
expr::ANKRD11	19.270200	16.480300	14.536200	23.336500	20.140800	21.465300	22.706600	8.735240	10.866000	8.677750	23.365200	25.244600	15.458300	14.071800	9.256150	9.734240	10.535200	7.218760	11.500800	8.861500	18.700100	35.733400	27.162800	22.739600	29.543700	19.985800	15.885000	13.496900	11.927000	15.355500	21.649300	18.906000	21.279200	28.824300	11.020600	7.208800	7.740610	17.546900	5.413870	4.499940	4.245600	15.612500	26.534600	16.789300	11.569400	27.796100	33.170500	7.074130	5.409110	11.328600	5.917090	27.383300	20.544200	23.385500	23.710100	22.338100	26.887200	17.765500	22.430000	12.737600	11.000800	6.923870	13.564100	23.091400	24.612800	30.953500	22.643500	10.956300
